"","state","county_name","female","college","dem","rep","age","income","white","black","hispanic","total","state_code","total_votes_12","obama_votes_12","romney_votes_12","total_votes_16","clinton_votes_16","trump_votes_16","twoway12","twoway16"
"22","MI","DICKINSON",0.505412719891746,0.351150202976996,0.215155615696888,0.457374830852503,52.7979661016949,61630.1103942652,0.970426576895819,0.0028954642097803,0.00788433734939759,1478,"MI",12810,4952,7688,13232,3923,8580,0.391772151898734,0.313764696472846
"23","MI","EATON",0.530810810810811,0.416036036036036,0.49045045045045,0.381441441441441,51.6005047773571,73725.6248172515,0.856856986501277,0.0578206311565122,0.045445585552718,5550,"MI",54788,27913,26197,56575,24938,27609,0.515856588430974,0.474584657544674
"24","MI","EMMET",0.51009564293305,0.411264612114771,0.384165781083953,0.43836344314559,53.0781914893617,69957.804031355,0.932166129032258,0.00354238042269188,0.0107778642936596,1882,"MI",17709,7225,10253,18994,6972,10616,0.413376816569402,0.396406640891517
"25","MI","GENESEE",0.535353996439494,0.344501757429132,0.640662801844159,0.207513580134204,50.8494264954531,60018.0713621139,0.741240920040767,0.193949240248309,0.0294560131566756,21907,"MI",202933,128978,71808,197641,102751,84175,0.642365503570966,0.549688111873148
"26","MI","GLADWIN",0.528497409326425,0.336047372316802,0.621761658031088,0.333826794966691,56.5474074074074,50866.8007604563,0.972191634980989,0.0022161216730038,0.0102303422053232,1351,"MI",12583,5760,6661,12542,3794,8124,0.463730778520248,0.318342003691895
"27","MI","GOGEBIC",0.496583143507973,0.328018223234624,0.562642369020501,0.277904328018223,55.2770809578107,50770.6192358366,0.946836979785969,0.00314351961950059,0.0101489892984542,878,"MI",7576,4058,3444,7383,2925,4018,0.540922420687817,0.421287627826588
"28","MI","GRAND TRAVERSE",0.513746409519901,0.424702503077554,0.433729995896594,0.423881821912187,51.22521042907,71051.7647182506,0.944099364272092,0.004231277813096,0.0190862470862471,4874,"MI",47999,20875,26534,51985,20965,27413,0.440317239342741,0.43335813799661
"29","MI","GRATIOT",0.524918743228602,0.324485373781148,0.483206933911159,0.400866738894908,52.0309110629067,56786.306122449,0.927190848214286,0.00339547991071429,0.0521229352678571,1846,"MI",16035,7610,8241,16465,5666,9880,0.480095893003596,0.364466743856941
"30","MI","HILLSDALE",0.528668171557562,0.306094808126411,0.228442437923251,0.505191873589165,52.5788522367826,57120.1378326996,0.961969589816124,0.00460608203677511,0.015849976426214,2215,"MI",19100,7106,11727,19940,4799,14095,0.37731641267987,0.253995977559013
"31","MI","HOUGHTON",0.498805256869773,0.376344086021505,0.490442054958184,0.357825567502987,51.9748352306771,58535.3421052632,0.952803448275862,0.00301203761755486,0.00912921630094044,1674,"MI",15282,6801,8196,15761,6018,8475,0.453490698139628,0.415234941006003
