"","state_code","state_name","density","hispanic","afam","education","vap","county_fips","county_name","vote_16","vote_12","clinton_votes","obama_votes","trump_votes","romney_votes","midwest","twoway16","twoway12"
"1659","MT","Montana",1113.04107526972,0.0297174942970713,0.00330746920839587,43400.5879339501,31388.0002990961,81,"Ravalli",22556,22212,6223,7285,14810,14307,FALSE,0.295868397280464,0.337393479066321
"1660","MT","Montana",2061.49029018828,0.0139687735471549,0.00164338556263454,44179,2811.0001860857,97,"Sweet Grass",2107,2117,402,475,1595,1594,FALSE,0.201301952929394,0.229579507008217
"1661","KS","Kansas",1762.78636422776,0.0147936641435143,0.00545029909718108,44190.7575914872,3079.00022116303,183,"Smith",2042,2023,297,358,1661,1624,FALSE,0.151685393258427,0.180625630676085
"1662","KS","Kansas",3063.48712623935,0.100961999921696,0.0157691195827385,46547.6307646534,7674.0003362,159,"Rice",3804,3681,695,911,2837,2676,FALSE,0.196772366930917,0.253972679119041
"1663","KS","Kansas",3572.39324829056,0.0519861219986347,0.0693242375467879,40481.247441572,27072.0010431707,125,"Montgomery",12004,12417,2637,3501,8679,8630,FALSE,0.233032873806999,0.288599455939329
"1664","FL","Florida",4145.47202064852,0.112042490131774,0.0929738902613694,50623.4613774017,112076.002962753,61,"Indian River",80769,71464,29043,27492,48620,43450,FALSE,0.373961860860384,0.387527839643653
"1665","NY","New York",4907.15585332757,0.0250097375705338,0.0411917998568592,51394.4547535554,66238.0014663339,19,"Clinton",32105,30656,15059,18961,14449,11115,FALSE,0.510336180018978,0.630436228221838
"1666","FL","Florida",8232.69929259748,0.206197829415721,0.0570119041195941,55955.0959985121,62088.998876825,87,"Monroe",42977,39057,18971,19404,21904,19234,FALSE,0.464122324159021,0.502199906827476
"1667","CO","Colorado",3080.62377008919,0.117972483069235,0.00662329050674606,58709.3186971598,40822.0014901459,67,"La Plata",31150,29184,15525,15489,12587,12794,FALSE,0.552255264655663,0.547643460736131
"1668","ME","Maine",1091.81607503882,0.00783104816694503,0.00654821241834628,38518.3356628628,41052.0008993596,25,"Somerset",26064,24787,9092,12216,15001,11800,FALSE,0.377371020628398,0.508660892738174
